,bins,completeness,contamination
277,bin.1235,79.5675105485232,2.109704641350211
278,bin.1210,87.28314745972737,1.2391573729863692
283,bin.1251,88.08532778355878,2.042143600416233
292,bin.1208,78.20190156599551,0.061012812690665046
294,bin.1227,89.16666666666667,0.7004830917874396
295,bin.1260,75.28735632183907,7.758620689655173
301,bin.12,84.15385741472697,1.8921095008051532
302,bin.1265,86.47676767676768,4.0
304,bin.1202,93.47172441258463,0.8024691358024691
307,bin.1241,95.6896551724138,2.8735632183908044
309,bin.1225,92.9082774049217,2.684563758389262
311,bin.1262,83.25499412455933,3.4181240063593004
313,bin.1243,74.63444857496901,0.8488228004956628
314,bin.1267,73.23715263231392,9.658218125960062
315,bin.1263,76.78898527683694,3.6557337388539435
317,bin.1261,77.88888888888889,3.0952380952380953
328,bin.1246,73.73624782860452,7.537154989384288
329,bin.1281,93.6241610738255,1.2513982102908277
342,bin.1286,80.17511117255363,6.756756756756757
344,bin.1309,91.37931034482759,3.7617554858934166
346,bin.1293,94.88954138702462,1.342281879194631
347,bin.125,92.33678343949045,2.287203242617255
351,bin.129,91.24472573839664,1.7932489451476792
360,bin.1288,74.8,0.4
361,bin.1295,84.82753853597845,5.436337872399254
365,bin.1264,96.44020853698274,1.881720430107527
366,bin.1327,76.9449715370019,2.6881720430107525
368,bin.1302,80.82437275985663,0.0
380,bin.13,85.21505376344086,4.143920595533499
388,bin.1318,85.04761904761905,3.0952380952380953
393,bin.1353,78.99015981575825,9.213483146067414
405,bin.131,83.16855145659494,3.6996779388083736
407,bin.1334,84.35881760644419,0.9691455696202531
411,bin.138,72.07336523125997,7.017543859649122
413,bin.1352,77.2832774049217,2.684563758389262
415,bin.1347,82.01901565995524,2.0134228187919465
428,bin.1374,89.17171717171718,9.88888888888889
431,bin.1345,76.34920634920636,1.0822510822510822
432,bin.1356,72.25806451612904,1.6129032258064515
436,bin.135,94.14609053497942,0.4938271604938271
441,bin.1368,72.2568385194224,5.627796420581655
442,bin.1398,72.41379310344827,0.0
445,bin.1328,89.87695749440716,0.0
454,bin.1357,92.33271375464685,2.726146220570012
455,bin.1393,85.68611452716551,4.771505376344086
463,bin.1371,70.78364288041708,1.6129032258064515
466,bin.1373,92.04980842911877,4.000289771080847
467,bin.1370,81.97529121442163,3.301127214170692
468,bin.137,93.50620567375887,2.127659574468085
470,bin.1379,74.71878596087457,3.113132911392405
475,bin.1378,82.22369976359337,3.6569148936170213
478,bin.1402,79.55082742316785,1.0638297872340425
487,bin.1442,78.38915470494418,7.894736842105263
490,bin.1394,80.44641041285337,3.0872483221476505
494,bin.1425,89.3714722668937,4.032258064516129
497,bin.1439,76.9407158836689,1.4446054504779338
502,bin.1437,81.01898101898101,6.243756243756243
505,bin.1427,81.83333333333333,2.380952380952381
523,bin.1400,86.66958041958041,1.048951048951049
525,bin.1448,79.21560402684564,1.0067114093959733
527,bin.1444,82.05257270693511,5.1454138702460845
531,bin.1450,85.19355791962174,3.250591016548463
532,bin.1436,93.70255348516218,3.0193236714975846
534,bin.1431,95.88607594936708,1.2658227848101267
540,bin.1492,76.72413793103448,4.310344827586207
544,bin.1472,71.99024822695036,3.5106382978723403
546,bin.1469,83.12698412698413,1.8253968253968254
549,bin.1445,74.7545851893678,2.592592592592593
550,bin.1484,86.15009151921905,2.684563758389262
554,bin.1453,97.14285714285714,2.857142857142857
555,bin.1479,86.21428571428571,4.0476190476190474
558,bin.146,71.17306897976043,1.3940520446096654
561,bin.1456,79.4680677745194,6.99535679374389
562,bin.1461,86.66177908113391,1.075268817204301
567,bin.1488,78.6825396825397,4.206349206349206
570,bin.1496,74.3371212121212,8.48630536130536
575,bin.1510,82.86060606060606,4.0
578,bin.1486,86.83772056003069,2.2151898734177213
579,bin.1462,77.6791465378422,2.0933977455716586
580,bin.1494,72.03174603174602,1.6666666666666667
588,bin.1530,84.04059571042494,1.3440860215053763
589,bin.1533,84.71910112359552,0.2808988764044944
596,bin.1545,71.91011235955057,2.808988764044944
614,bin.1505,76.86596447748865,2.509293680297398
615,bin.1529,87.40470368239356,2.2151898734177213
617,bin.1551,87.21212121212122,2.2323232323232323
619,bin.1541,88.12178387650086,2.830188679245283
621,bin.1525,74.23868312757202,0.0
623,bin.1522,76.79402722880984,2.5120772946859904
626,bin.1534,79.53020134228188,5.167785234899329
630,bin.1524,86.63978494623656,5.268817204301076
631,bin.1520,98.58156028368795,0.8200354609929078
634,bin.1540,77.65008576329332,5.98560521978946
637,bin.1561,72.97678970917225,3.1319910514541385
645,bin.1523,95.75471698113208,5.188679245283019
647,bin.1591,93.10344827586206,7.93103448275862
649,bin.1595,79.7752808988764,3.3707865168539324
652,bin.1593,70.17543859649123,0.8771929824561403
653,bin.1511,98.42657342657343,2.272727272727273
666,bin.1547,93.38164251207729,3.5990338164251208
668,bin.1567,81.56471631205673,3.1678486997635935
669,bin.1582,84.80564876957494,1.6320927394752895
675,bin.158,97.76152482269504,3.0732860520094563
678,bin.1570,92.41935483870968,5.207373271889401
681,bin.1609,73.98794984530208,1.1235955056179776
682,bin.1598,71.34920634920634,5.285714285714286
683,bin.1586,72.24479766014578,4.0084388185654
685,bin.159,78.53132387706857,5.200945626477541
690,bin.1546,89.62807422046552,3.7359098228663448
691,bin.1603,88.55806386007728,2.5167785234899327
694,bin.1606,72.71270396270397,1.6317016317016317
696,bin.1637,73.42580314978947,8.426966292134832
697,bin.1596,92.00945626477544,2.3640661938534278
700,bin.1584,71.75411522633746,1.419753086419753
701,bin.1588,86.77420174903398,4.026845637583893
704,bin.1594,95.13422818791946,0.7931665649786456
706,bin.1592,94.62025316455696,5.346782700421941
713,bin.1580,73.1959706959707,1.3986013986013985
721,bin.1604,80.85586376661428,3.160919540229885
726,bin.1627,74.182156133829,4.148079306071871
727,bin.1660,93.37078651685393,3.3707865168539324
728,bin.1620,82.05673758865248,1.0638297872340425
729,bin.1667,70.82590612002377,0.0
730,bin.165,90.04474272930649,1.342281879194631
